difference,second_phase
-20,0.0
-19,0.0
-18,0.0
-17,0.0
-16,0.0
-15,0.0
-14,0.0
-13,0.0
-12,0.0
-11,0.33
-10,2.0
-9,5.67
-8,29.0
-7,138.33
-6,313.33
-5,532.67
-4,803.33
-3,912.33
-2,966.0
-1,1014.0
0,1019.33
1,1005.67
2,965.67
3,860.67
4,708.67
5,457.33
6,195.33
7,55.67
8,12.67
9,1.33
10,0.33
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
