iter,accuracy
0,0.0
50,0.0
100,0.0
150,0.020666666666666667
200,0.028666666666666667
250,0.026
300,0.19666666666666666
350,0.18966666666666668
400,0.208
450,0.6143333333333333
500,0.4653333333333333
550,0.7196666666666667
600,0.8266666666666667
650,0.7403333333333333
700,0.85
750,0.8046666666666666
800,0.9033333333333333
850,0.9323333333333333
900,0.888
950,0.9063333333333333
1000,0.791
1050,0.918
1100,0.8913333333333333
1150,0.859
1200,0.9483333333333334
1250,0.8426666666666667
1300,0.9086666666666666
1350,0.959
1400,0.963
1450,0.948
1500,0.9593333333333334
1550,0.949
1600,0.9403333333333334
1650,0.914
1700,0.9553333333333334
1750,0.9796666666666667
1800,0.9763333333333334
1850,0.9833333333333333
1900,0.946
1950,0.947
2000,0.9683333333333334
2050,0.9763333333333334
2100,0.983
2150,0.9876666666666667
2200,0.9906666666666667
2250,0.9426666666666667
2300,0.8986666666666666
2350,0.971
2400,0.9763333333333334
2450,0.9433333333333334
2500,0.989
2550,0.9953333333333333
2600,0.993
2650,0.914
2700,0.9436666666666667
2750,0.9566666666666667
2800,0.9826666666666667
2850,0.9853333333333333
